time phi1_2 psi1_2
0.0 1.357252 -3.060134
10.0 1.161336 -3.06924
20.0 0.945285 3.043561
30.0 1.173057 -2.902653
40.0 1.557682 -2.904329
50.0 1.586385 -2.548451
60.0 1.280649 -2.776571
70.0 1.016379 -2.7525
80.0 1.933766 -2.692324
90.0 1.031489 -2.796266
100.0 1.032842 -2.799597
110.0 1.157633 -2.652061
120.0 1.017211 -2.936024
130.0 1.035373 -2.905735
140.0 0.889663 -2.848639
150.0 1.215473 -2.850404
160.0 1.243153 -2.962595
170.0 1.215978 -2.688529
180.0 0.999796 -2.855638
190.0 0.887996 -2.899471
200.0 1.114547 -2.873627
210.0 1.013946 -2.962173
220.0 1.701482 -2.832659
230.0 0.973489 -2.896584
240.0 1.033532 -2.979284
250.0 1.076662 -2.957667
260.0 1.43867 -2.630191
270.0 1.141348 -2.957797
280.0 1.302225 -3.07582
290.0 1.360418 -2.477153
300.0 1.428554 -2.675915
310.0 1.452124 -2.922441
320.0 1.125651 -3.026326
330.0 1.088195 2.996694
340.0 1.498716 -2.916743
350.0 1.243153 -2.786378
360.0 1.035023 -2.616453
370.0 1.354371 -2.786873
380.0 0.76764 -2.895477
390.0 1.240883 -2.785202
400.0 1.090476 -2.712063
410.0 1.152613 -2.623171
420.0 1.474967 -2.759603
430.0 1.03994 -2.772121
440.0 1.310721 -2.562956
450.0 0.906792 -3.075042
460.0 0.940081 3.104126
470.0 1.051517 -2.902728
480.0 1.917325 -2.638649
490.0 1.67829 -2.537075
500.0 1.587632 -2.700746
510.0 1.781863 -3.026159
520.0 1.129368 3.018162
530.0 0.87334 -2.954094
540.0 0.9321 -2.954734
550.0 0.909201 -2.858748
560.0 1.25192 -2.581535
570.0 1.037035 -3.138362
580.0 1.055256 -2.839502
590.0 1.031812 -2.737795
600.0 1.359742 -2.90479
610.0 1.488007 -2.654646
620.0 1.495993 -2.557201
630.0 1.352851 -2.911197
640.0 1.379944 -2.747047
650.0 1.821432 -3.072673
660.0 1.406133 -2.64493
670.0 1.27582 3.122943
680.0 1.150611 -2.907373
690.0 1.073696 -2.812794
700.0 0.755671 -3.021684
710.0 1.971594 -2.807162
720.0 1.019367 -3.012481
730.0 1.031079 -3.072901
740.0 1.515694 -2.801309
750.0 1.451809 -2.662722
760.0 1.211119 -2.692599
770.0 1.276934 -2.860921
780.0 1.149937 -2.729655
790.0 1.060689 -2.815681
800.0 1.055939 -2.978613
810.0 1.574367 -2.6207
820.0 1.152988 -2.735378
830.0 1.128883 -2.710298
840.0 0.871761 -2.651576
850.0 1.139087 -2.977302
860.0 1.137444 -2.673076
870.0 1.422743 -2.870795
880.0 1.023167 -2.831385
890.0 1.066921 -2.933794
900.0 1.199342 -2.691328
910.0 1.084359 -3.097582
920.0 0.833198 -2.950508
930.0 1.206462 -2.906596
940.0 0.893395 -2.93697
950.0 1.149683 -3.082323
960.0 1.330137 -2.941222
970.0 1.341428 -2.869534
980.0 1.289609 -2.792658
990.0 0.89653 -3.063452
1000.0 1.764345 -3.04933
1010.0 1.431078 -2.843807
1020.0 1.119148 -2.831383
1030.0 1.612611 -2.554937
1040.0 1.190118 -2.900311
1050.0 1.666338 -2.902769
1060.0 1.338021 -2.679284
1070.0 1.394265 -2.662568
1080.0 1.392818 -2.361176
1090.0 1.155986 -2.662938
1100.0 1.446568 -2.796448
1110.0 1.347838 -2.634419
1120.0 1.460932 -2.521564
1130.0 0.968144 -2.644169
1140.0 1.025223 -2.738868
1150.0 1.455343 -2.857749
1160.0 1.286931 -2.773243
1170.0 1.392803 -2.836903
1180.0 1.184454 -2.909512
1190.0 1.175792 -2.912251
1200.0 1.049349 -2.849128
1210.0 1.078073 -3.052359
1220.0 1.508744 -2.859189
1230.0 1.145184 -2.847818
1240.0 1.244412 -2.747717
1250.0 1.394248 -2.666483
